Completion,Wellbore,xcoor,ycoor,Avg_depth,Sand,Station
AL-1:A,AL-1,478926.98,10851477.6,4318,A,LB-02
AL-10:A,AL-10,478268.42,10850586.12,5153,A,LB-03
AL-10:C,AL-10,478268.42,10850586.12,,C,LB-03
AL-11:B,AL-11,477892.1,10850510.88,3802,B,LB-03
AL-12:B,AL-12,477211,10849454.1,3624,B,LB-01
AL-13:A,AL-13,477848,10849130.34,4395,A,LB-03
AL-13:C,AL-13,477848,10849130.34,,C,LB-03
AL-14:B,AL-14,477769.6,10849413.06,3858,B,LB-03
AL-15:A,AL-15,478705.5,10850149.5,5220,A,LB-03
AL-16:B,AL-16,478050.86,10849387.98,3778,B,LB-03
AL-17:B,AL-17,477533.42,10849281.96,3726,B,LB-03
AL-18:B,AL-18,477546.16,10849905.54,3676,B,LB-03
AL-19:B,AL-19,477244.32,10850140.38,3567,B,LB-01
AL-2:C,AL-2,478677.08,10851104.82,,C,LB-03
AL-20:B,AL-20,477962.66,10849639.92,3603,B,LB-03
AL-21:A,AL-21,479065.16,10850480.1,4234,A,LB-03
AL-21:C,AL-21,479065.16,10850480.1,,C,LB-04
AL-22:C,AL-22,477649.06,10848633.3,,C,LB-03
AL-23:B,AL-23,477879.36,10850091.36,3557,B,LB-03
AL-24:B,AL-24,477187.48,10849846.26,3694,B,LB-03
AL-25:C,AL-25,477242.36,10848889.8,,C,LB-03
AL-26:B,AL-26,477657.88,10850613.48,3545,B,LB-03
AL-27:B,AL-27,477986.18,10851062.64,3683,B,LB-02
AL-28:B,AL-28,477485.4,10850338.74,3623,B,LB-01
AL-29:B,AL-29,477240.4,10850729.76,3650,B,LB-01
AL-3:A,AL-3,479019.1,10850841.48,4447,A,LB-03
AL-3:C,AL-3,479019.1,10850841.48,,C,LB-03
AL-30:B,AL-30,477509.9,10850825.52,3886,B,LB-01
AL-31:B,AL-31,477871.4318,10850699.46,3714,B,LB-03
AL-32:B,AL-32,477432.48,10851118.5,3555,B,LB-01
AL-33:B,AL-33,477680.42,10851517.5,3734,B,LB-01
AL-34:B,AL-34,477989.12,10850334.18,3513,B,LB-03
AL-35:B,AL-35,477348.2,10851240.48,3681,B,LB-01
AL-36:B,AL-36,478168.362,10851233.29,3855,B,LB-01
AL-4:A,AL-4,478643.76,10850610.06,4666,A,LB-03
AL-5:A,AL-5,477793.12,10849764.18,4353,A,LB-03
AL-6:A,AL-6,477547.14,10849580.64,5313,A,LB-03
AL-6:C,AL-6,477547.14,10849580.64,,C,LB-03
AL-7:A,AL-7,478157.68,10850185.98,4991,A,LB-03
AL-7:C,AL-7,478157.68,10850185.98,,C,LB-03
AL-8:A,AL-8,478409.54,10849866.78,4317,A,LB-03
AL-8:C,AL-8,478409.54,10849866.78,,C,LB-03
AL-9:A,AL-9,478205.7,10849500.84,4808,A,LB-03
AL-9:C,AL-9,478205.7,10849500.84,,C,LB-03
