DATE,Completion,pet,gas,agua,FirstDate,ProdTotalDaysCum
1/04/1964,AL-1:A,4119,3883,192,1/04/1964,30
1/05/1964,AL-1:A,9788,11319,420,1/04/1964,61
1/06/1964,AL-1:A,9003,10100,240,1/04/1964,91
1/07/1964,AL-1:A,8635,6326,248,1/04/1964,122
1/08/1964,AL-1:A,7568,3174,248,1/04/1964,153
1/09/1964,AL-1:A,6682,1816,210,1/04/1964,183
1/10/1964,AL-1:A,6515,4455,217,1/04/1964,214
1/11/1964,AL-1:A,6152,3590,210,1/04/1964,244
1/12/1964,AL-1:A,6098,2822,217,1/04/1964,275
1/01/1965,AL-1:A,5930,2999,155,1/04/1964,306
1/02/1965,AL-1:A,5045,2691,140,1/04/1964,334
1/03/1965,AL-1:A,5571,2507,155,1/04/1964,365
1/04/1965,AL-1:A,5193,2416,150,1/04/1964,395
1/05/1965,AL-1:A,5147,2352,155,1/04/1964,426
1/06/1965,AL-1:A,4738,2597,150,1/04/1964,456
1/07/1965,AL-1:A,4652,2366,155,1/04/1964,487
1/08/1965,AL-1:A,4694,2384,155,1/04/1964,518
1/09/1965,AL-1:A,4336,1951,150,1/04/1964,548
1/10/1965,AL-1:A,4273,2133,155,1/04/1964,579
1/11/1965,AL-1:A,4035,2063,150,1/04/1964,609
1/12/1965,AL-1:A,4063,7052,155,1/04/1964,640
1/01/1966,AL-1:A,3621,6018,155,1/04/1964,671
1/02/1966,AL-1:A,3439,5377,140,1/04/1964,699
1/03/1966,AL-1:A,3722,6066,155,1/04/1964,730
1/04/1966,AL-1:A,3270,5869,150,1/04/1964,760
1/05/1966,AL-1:A,3517,5559,155,1/04/1964,791
1/06/1966,AL-1:A,3411,5243,150,1/04/1964,821
1/07/1966,AL-1:A,3598,6175,155,1/04/1964,852
1/08/1966,AL-1:A,3453,5348,155,1/04/1964,883
1/09/1966,AL-1:A,3176,5523,150,1/04/1964,913
1/10/1966,AL-1:A,3345,6702,155,1/04/1964,944
1/11/1966,AL-1:A,2962,5257,150,1/04/1964,974
1/12/1966,AL-1:A,3159,7141,155,1/04/1964,1005
1/01/1967,AL-1:A,3147,7293,155,1/04/1964,1036
1/02/1967,AL-1:A,2763,5964,140,1/04/1964,1064
1/03/1967,AL-1:A,3242,5953,155,1/04/1964,1095
1/04/1967,AL-1:A,2893,4781,150,1/04/1964,1125
1/05/1967,AL-1:A,2913,5558,124,1/04/1964,1156
1/06/1967,AL-1:A,2812,6779,120,1/04/1964,1186
1/07/1967,AL-1:A,3097,5588,155,1/04/1964,1217
1/08/1967,AL-1:A,2928,6012,155,1/04/1964,1248
1/09/1967,AL-1:A,2802,3394,120,1/04/1964,1278
1/10/1967,AL-1:A,2929,4133,124,1/04/1964,1309
1/11/1967,AL-1:A,2461,3224,150,1/04/1964,1339
1/12/1967,AL-1:A,2485,2989,124,1/04/1964,1370
1/01/1968,AL-1:A,2233,2277,124,1/04/1964,1401
1/02/1968,AL-1:A,2258,1963,116,1/04/1964,1430
1/03/1968,AL-1:A,2183,1834,,1/04/1964,1461
1/04/1968,AL-1:A,1994,1385,,1/04/1964,1491
1/05/1968,AL-1:A,2045,1665,,1/04/1964,1522
1/06/1968,AL-1:A,2390,3197,120,1/04/1964,1552
1/07/1968,AL-1:A,2494,3824,124,1/04/1964,1583
1/08/1968,AL-1:A,2408,4794,124,1/04/1964,1614
1/09/1968,AL-1:A,2237,4437,120,1/04/1964,1644
1/10/1968,AL-1:A,2195,4558,124,1/04/1964,1675
1/11/1968,AL-1:A,2172,5102,120,1/04/1964,1705
1/12/1968,AL-1:A,2106,2080,124,1/04/1964,1736
